word,pos
ក្ងេះ,គុ.
ក្ងែង,គុ.
ក្ងោក,ន.
ក្ដ,ន.
ក្ដក់,កិ.
ក្ដន់,គុ.
ក្ដាត,ន.
ក្ដាត់,គុ.
ក្ដាន់,ន.
ក្ដាប់,កិ.
ក្ដាម,ន.
ក្ដាមទូក,ន.
ក្ដារ,កិ.
ក្ដារខៀន,ន.
ក្ដារឆ្នួន,ន.
ក្ដិច,កិ.
ក្ដិត,ន.
ក្ដី,ន.
ក្ដីក្ដាំ,ន.
ក្ដឹប,ន.
ក្ដឹះ,គុ.
ក្ដុក,ន.
ក្ដុកៗ,ឧ.
ក្ដុង,ឧ.
ក្ដុងក្ដាំង,ឧ.
ក្ដុល,ន.
ក្ដូនចេស,គុ.
ក្ដួច,ន.
ក្ដួល,កិ.
ក្ដឿង,ន.
ក្ដៀន,គុ.
ក្ដៀប,គុ.
ក្ដែងៗ,កិ.
ក្ដោង,ន.
ក្ដោប,កិ.
ក្ដៅ,គុ.
ក្ដាំ,ប.
ក្ដាំង,គុ.
ក្ដាំងងា,ន.
ក្ឌឺង,កិ.
ក្ឌុក,ឧ.
ក្ឌុង,ឧ.
ក្ឌុំ,ន.
ក្ឌាំង,ឧ.
ក្ទម្ព,ន.
ក្ទម្ពទេស,ន.
ក្នក់,កិ.
ក្នាញ់,គុ.
ក្និកក្នក់,គុ.
ក្និច,កិ.
ក្បក,ន.
ក្បង់,កិ.
ក្បត់,កិ.
ក្បាន,ន.
ក្បាប,ន.
ក្បាយ,ប.
ក្បាល,ន.
ក្បាលក្រពើ,ន.
ក្បាក់,ន.
ក្បាច់,ន.
ក្បិត,កិ.
ក្បិតក្បៀត,កិ.
ក្បិន,ន.
ក្បិល,កិ.
ក្បឺត,កិ.
ក្បុង,ន.
ក្បុស,គុ.
ក្បូន,ន.
ក្បូរ,ប.
ក្បួន,ន.
ក្បឿង,ន.
ក្បៀប,ប.
ក្បៀស,កិ.
ក្បេត,កិ.
ក្បែរ,និ.
ក្បោះ,គុ.
ក្បោះក្បាយ,គុ.
ក្បំ,គុ.
ក្បាំង,ន.
ក្មាង,ប.
ក្មួយ,ន.
ក្មេក,ន.
ក្មេង,ន.
ក្រ,គុ.
ក្រក,ន.
ក្រកី,ន.
ក្រកោ,ន.
ក្រខុប,ន.
ក្រគរ,ន.
ក្រង,កិ.
ក្រង់,ន.
ក្រចក,ន.
ក្រចកអណ្ដើក,ន.
ក្រចកចាប,ន.
ក្រចាស,ន.
ក្រចាប់,ន.
ក្រចេះ,ន.
ក្រចៅ,កិ.
ក្រជីង,ន.
ក្រជាំ,គុ.
ក្រញង់,គុ.
ក្រញរ,ន.
ក្រញាង,គុ.
ក្រញាស,គុ.
ក្រញាញ់,គុ.
ក្រញិកក្រញុក,គុ.
ក្រញី,កិ.
